dtg,value,type
2023-01-02,5,review
2023-01-03,11,review
2023-01-04,13,review
2023-01-05,10,review
2023-01-06,13,review
2023-01-07,8,review
2023-01-08,10,review
2023-01-09,11,review
2023-01-10,11,review
2023-01-11,16,review
2023-01-12,17,review
2023-01-13,22,review
2023-01-14,19,review
2023-01-15,16,review
2023-01-16,44,review
2023-01-17,47,review
2023-01-18,46,review
2023-01-19,50,review
2023-01-20,59,review
2023-01-21,52,review
2023-01-22,91,review
2023-01-23,299,review
2023-01-24,291,review
2023-01-25,86,review
2023-01-26,40,review
2023-01-27,43,review
2023-01-28,29,review
2023-01-29,34,review
2023-01-30,29,review
2023-01-31,20,review
2023-02-01,12,review
2023-02-02,15,review
2023-02-03,14,review
2023-02-03,13,meta
2023-02-04,10,review
2023-02-04,4,meta
2023-02-05,8,review
2023-02-05,14,meta
2023-02-06,18,meta
2023-02-06,4,review
2023-02-07,85,meta
2023-02-07,2,review
2023-02-08,2,review
2023-02-08,115,meta
2023-02-09,4,review
2023-02-09,80,meta
2023-02-10,26,meta
2023-02-10,1,review
2023-02-11,3,review
2023-02-11,21,meta
2023-02-12,2,review
2023-02-12,17,meta
2023-02-13,29,meta
2023-02-14,5,meta
2023-02-15,10,meta
2023-02-15,1,review
2023-02-16,5,meta
2023-02-18,1,review
2023-03-17,1,review
