score,value,type
0.0,4,review
0.0,32,meta
1.0,13,review
1.0,10,meta
1.5,34,review
2.0,125,review
2.0,136,meta
2.5,130,review
3.0,101,review
3.0,160,meta
3.5,55,review
4.0,11,review
4.0,126,meta
4.5,1,review
5.0,10,meta
