price
75.0
75.0
75.0
75.0
75.0
75.0
75.0
75.0
75.0
104.0
369.0
300.0
92.0
64.0
265.0
35.0
287.0
69.0
52.0
23.0
287.0
87.0
114.0
114.0
98.0
137.0
87.0
90.0
63.0
69.0
80.0
113.0
58.0
115.0
30.0
35.0
92.0
460.0
74.0
72.0
63.0
115.0
60.0
75.0
31.0
277.0
52.0
218.0
132.0
316.0
127.0
87.0
449.0
46.0
345.0
48.0
184.0
149.0
345.0
92.0
749.0
93.0
9502.0
138.0
48.0
87.0
103.0
32.0
93.0
57.0
109.0
127.0
149.0
78.0
162.0
173.0
87.0
184.0
288.0
576.0
460.0
150.0
127.0
92.0
84.0
115.0
218.0
404.0
52.0
85.0
66.0
52.0
201.0
287.0
69.0
114.0
379.0
115.0
161.0
91.0
231.0
230.0
822.0
115.0
80.0
58.0
207.0
171.0
156.0
91.0
138.0
104.0
691.0
74.0
87.0
63.0
333.0
125.0
196.0
57.0
92.0
127.0
136.0
129.0
66.0
80.0
115.0
87.0
57.0
172.0
184.0
230.0
153.0
162.0
104.0
165.0
1036.0
69.0
196.0
38.0
92.0
162.0
806.0
105.0
69.0
29.0
