dtg,value,type
2023-06-30,1,review
2023-07-07,2,review
2023-07-08,8,review
2023-07-09,5,review
2023-07-10,5,review
2023-07-11,3,review
2023-07-12,3,review
2023-07-13,3,review
2023-07-14,5,review
2023-07-15,5,review
2023-07-16,13,review
2023-07-17,24,review
2023-07-18,19,review
2023-07-19,24,review
2023-07-20,33,review
2023-07-21,117,review
2023-07-22,28,review
2023-07-23,12,review
2023-07-24,11,review
2023-07-25,19,review
2023-07-26,12,review
2023-07-27,10,review
2023-07-28,6,review
2023-07-29,3,review
2023-07-30,1,review
2023-07-31,3,review
2023-08-01,1,review
2023-08-02,1,review
2023-08-02,2,meta
2023-08-03,1,meta
2023-08-04,9,meta
2023-08-05,13,meta
2023-08-06,20,meta
2023-08-07,21,meta
2023-08-08,20,meta
2023-08-09,19,meta
2023-08-10,8,meta
2023-08-11,3,meta
