score,value,type
0.0,21,meta
1.0,5,review
1.0,4,meta
1.5,12,review
2.0,47,review
2.0,54,meta
2.5,59,review
3.0,39,review
3.0,58,meta
3.5,22,review
4.0,3,review
4.0,45,meta
5.0,5,meta
