score,value,type
0.0,1,meta
0.0,1,review
0.5,2,review
1.0,37,review
1.0,56,meta
1.5,253,review
2.0,916,review
2.0,1384,meta
2.5,1485,review
3.0,1370,review
3.0,1758,meta
3.5,1,meta
3.5,613,review
4.0,1480,meta
4.0,94,review
4.5,3,review
5.0,94,meta
