load,value,type
1,989,review
1,77,meta
2,689,review
2,55,meta
3,1247,review
3,119,meta
4,1420,review
4,177,meta
5,305,review
5,127,meta
6,146,review
6,77,meta
7,81,meta
7,73,review
8,51,meta
8,28,review
9,55,meta
9,9,review
10,48,meta
10,4,review
11,32,meta
11,5,review
12,11,meta
12,1,review
13,2,review
14,3,review
15,1,review
17,1,review
22,1,review
