score,value,type
1.0,49,meta
1.0,24,review
1.5,361,review
1.5,294,meta
2.0,1865,meta
2.0,1530,review
2.5,1435,meta
2.5,2467,review
3.0,1871,meta
3.0,2062,review
3.5,1046,meta
3.5,753,review
4.0,84,review
4.0,693,meta
4.5,27,meta
4.5,1,review
5.0,2,meta
