load,value,type
1,70,meta
1,1080,review
2,44,meta
2,583,review
3,48,meta
3,1094,review
4,73,meta
4,1904,review
5,356,review
5,186,meta
6,206,review
6,240,meta
7,155,review
7,108,meta
8,85,meta
8,138,review
9,74,meta
9,48,review
10,53,review
10,83,meta
11,49,meta
11,64,review
12,42,review
12,23,meta
13,35,review
13,10,meta
14,67,review
14,12,meta
15,10,meta
15,46,review
16,5,meta
16,19,review
17,3,review
18,1,meta
22,1,review
23,1,review
25,1,meta
