dtg,value,type
2025-03-02,46,review
2025-03-03,148,review
2025-03-04,176,review
2025-03-05,118,review
2025-03-06,178,review
2025-03-07,163,review
2025-03-08,119,review
2025-03-09,177,review
2025-03-10,238,review
2025-03-11,164,review
2025-03-12,243,review
2025-03-13,293,review
2025-03-14,315,review
2025-03-15,297,review
2025-03-16,412,review
2025-03-17,527,review
2025-03-18,704,review
2025-03-19,996,review
2025-03-20,1293,review
2025-03-21,1706,review
2025-03-22,2450,review
2025-03-23,4369,review
2025-03-24,3265,review
2025-03-25,1300,review
2025-03-26,1304,review
2025-03-27,839,review
2025-03-28,406,review
2025-03-29,143,review
2025-03-30,96,review
2025-03-31,110,review
2025-04-01,119,review
2025-04-02,127,review
2025-04-03,65,review
2025-04-04,31,review
2025-04-05,23,review
2025-04-05,103,meta
2025-04-06,21,review
2025-04-06,300,meta
2025-04-07,494,meta
2025-04-07,8,review
2025-04-08,706,meta
2025-04-08,3,review
2025-04-09,3,review
2025-04-09,1137,meta
2025-04-10,4,review
2025-04-10,2039,meta
2025-04-11,2,review
2025-04-11,1304,meta
2025-04-12,1,review
2025-04-12,553,meta
2025-04-13,306,meta
2025-04-14,216,meta
2025-04-15,93,meta
2025-04-16,31,meta
