score,value,type
1.0,6,review
1.0,11,meta
1.5,112,review
1.5,94,meta
2.0,687,review
2.0,745,meta
2.5,1180,review
2.5,741,meta
3.0,953,review
3.0,937,meta
3.5,341,review
3.5,496,meta
4.0,31,review
4.0,281,meta
4.5,5,meta
