load,value,type
1,810,review
1,250,meta
2,378,review
2,199,meta
3,447,review
3,147,meta
4,938,review
4,111,meta
5,106,meta
5,308,review
6,131,meta
6,319,review
7,14,review
7,14,meta
8,18,review
8,24,meta
9,6,meta
9,1,review
10,1,review
10,6,meta
11,5,meta
12,1,review
12,1,meta
