dtg,value,type
2025-10-23,62,review
2025-10-24,62,review
2025-10-25,54,review
2025-10-26,75,review
2025-10-27,112,review
2025-10-28,109,review
2025-10-29,91,review
2025-10-30,99,review
2025-10-31,80,review
2025-11-01,99,review
2025-11-02,80,review
2025-11-03,189,review
2025-11-04,172,review
2025-11-05,161,review
2025-11-06,252,review
2025-11-07,249,review
2025-11-08,465,review
2025-11-09,861,review
2025-11-10,2016,review
2025-11-11,2275,review
2025-11-12,729,review
2025-11-13,712,review
2025-11-14,303,review
2025-11-15,192,review
2025-11-16,173,review
2025-11-17,204,review
2025-11-18,165,review
2025-11-19,134,review
2025-11-20,41,review
2025-11-21,37,review
2025-11-22,18,review
2025-11-23,19,review
2025-11-24,26,review
2025-11-25,11,review
2025-11-26,9,review
2025-11-27,10,review
2025-11-28,3,review
2025-11-29,30,meta
2025-11-29,2,review
2025-11-30,3,review
2025-11-30,133,meta
2025-12-01,234,meta
2025-12-01,4,review
2025-12-02,271,meta
2025-12-02,1,review
2025-12-03,427,meta
2025-12-03,5,review
2025-12-04,791,meta
2025-12-04,10,review
2025-12-05,879,meta
2025-12-05,4,review
2025-12-06,215,meta
2025-12-07,117,meta
2025-12-07,4,review
2025-12-08,79,meta
2025-12-09,3,review
2025-12-09,57,meta
2025-12-10,1,review
2025-12-10,52,meta
2025-12-11,25,meta
2025-12-12,9,meta
2025-12-13,1,meta
