dtg,value,type
2022-08-04,3,review
2022-08-05,2,review
2022-08-06,2,review
2022-08-07,3,review
2022-08-08,1,review
2022-08-09,1,review
2022-08-10,6,review
2022-08-11,3,review
2022-08-12,3,review
2022-08-13,3,review
2022-08-14,3,review
2022-08-15,4,review
2022-08-16,7,review
2022-08-17,10,review
2022-08-18,5,review
2022-08-19,16,review
2022-08-20,6,review
2022-08-21,17,review
2022-08-22,49,review
2022-08-23,34,review
2022-08-24,11,review
2022-08-25,16,review
2022-08-26,11,review
2022-08-27,3,review
2022-08-28,1,review
2022-08-29,1,review
2022-08-30,9,review
2022-08-31,7,review
2022-08-31,2,meta
2022-09-01,6,review
2022-09-02,3,review
2022-09-03,3,review
2022-09-04,2,review
2022-09-04,1,meta
2022-09-05,2,review
2022-09-05,4,meta
2022-09-06,2,meta
2022-09-07,1,meta
2022-09-07,2,review
2022-09-08,2,review
2022-09-08,2,meta
2022-09-09,2,meta
2022-09-09,3,review
2022-09-10,2,meta
2022-09-11,1,review
2022-09-11,3,meta
2022-09-12,13,meta
2022-09-13,6,meta
2022-09-14,7,meta
2022-09-15,3,meta
2022-09-15,1,review
2022-09-16,1,meta
2022-09-17,3,review
2022-09-17,1,meta
2022-09-18,1,meta
2022-09-19,4,meta
2022-09-20,3,meta
2022-09-20,1,review
2022-09-21,3,review
2022-09-21,6,meta
2022-09-22,3,meta
2022-09-23,3,meta
2022-09-24,3,review
2022-09-25,1,review
2022-09-25,1,meta
2022-09-27,3,meta
2022-09-29,1,meta
2022-09-30,1,meta
2022-10-04,5,meta
2022-10-04,3,review
2022-10-05,1,meta
2022-10-05,1,review
2022-10-06,1,review
