load,value,type
1,300,review
1,60,meta
2,192,review
2,76,meta
3,595,review
3,158,meta
4,908,review
4,197,meta
5,28,review
5,38,meta
6,12,review
6,39,meta
7,10,meta
7,5,review
8,2,review
8,5,meta
9,1,meta
10,3,meta
11,1,meta
11,1,review
23,1,meta
