dtg,value,type
2026-04-01,6,review
2026-04-02,45,review
2026-04-03,44,review
2026-04-04,28,review
2026-04-05,29,review
2026-04-06,40,review
2026-04-07,58,review
2026-04-08,66,review
2026-04-09,82,review
2026-04-10,89,review
2026-04-11,68,review
2026-04-12,115,review
2026-04-13,188,review
2026-04-14,223,review
2026-04-15,227,review
2026-04-16,276,review
2026-04-17,308,review
2026-04-18,367,review
2026-04-19,557,review
2026-04-20,1013,review
2026-04-21,1193,review
2026-04-22,500,review
2026-04-23,229,review
2026-04-24,122,review
2026-04-25,79,review
2026-04-26,106,review
2026-04-27,107,review
2026-04-28,45,review
2026-04-29,34,review
2026-04-30,26,review
2026-05-01,27,review
2026-05-02,13,review
2026-05-03,10,review
2026-05-04,4,review
2026-05-05,7,review
2026-05-06,6,review
2026-05-07,8,review
2026-05-08,5,review
2026-05-09,8,review
2026-05-10,61,meta
2026-05-10,3,review
2026-05-11,8,review
2026-05-11,198,meta
2026-05-12,1,review
2026-05-12,160,meta
2026-05-13,1,review
2026-05-13,243,meta
2026-05-14,591,meta
2026-05-15,1,review
2026-05-15,532,meta
2026-05-16,3,review
2026-05-16,123,meta
2026-05-17,49,meta
2026-05-18,34,meta
2026-05-19,24,meta
2026-05-20,24,meta
2026-05-21,26,meta
2026-05-22,16,meta
