score,value,type
1.0,6,review
1.0,4,meta
1.5,11,review
2.0,35,review
2.0,47,meta
2.5,46,review
3.0,24,review
3.0,57,meta
3.5,15,review
4.0,3,review
4.0,30,meta
5.0,2,meta
