dtg,value,type
2023-02-28,2,review
2023-03-01,7,review
2023-03-02,3,review
2023-03-03,4,review
2023-03-04,3,review
2023-03-05,4,review
2023-03-06,7,review
2023-03-07,6,review
2023-03-08,4,review
2023-03-09,5,review
2023-03-10,5,review
2023-03-11,7,review
2023-03-12,3,review
2023-03-13,13,review
2023-03-14,16,review
2023-03-15,16,review
2023-03-16,14,review
2023-03-17,18,review
2023-03-18,18,review
2023-03-19,26,review
2023-03-20,46,review
2023-03-21,95,review
2023-03-22,38,review
2023-03-23,15,review
2023-03-24,24,review
2023-03-25,11,review
2023-03-26,17,review
2023-03-27,9,review
2023-03-28,7,review
2023-03-29,3,review
2023-03-30,1,review
2023-03-31,2,meta
2023-04-01,2,meta
2023-04-02,1,review
2023-04-03,19,meta
2023-04-04,2,review
2023-04-04,32,meta
2023-04-05,53,meta
2023-04-06,24,meta
2023-04-07,2,meta
2023-04-08,2,meta
2023-04-09,1,meta
2023-04-10,1,meta
2023-04-11,1,meta
2023-04-13,1,meta
