load,value,type
1,684,review
1,66,meta
2,367,review
2,37,meta
3,547,review
3,30,meta
4,592,review
4,63,meta
5,111,meta
5,72,review
6,84,meta
6,36,review
7,18,review
7,24,meta
8,14,meta
8,10,review
9,6,meta
9,2,review
10,1,review
10,5,meta
11,3,meta
12,3,meta
13,1,review
20,1,review
