dtg,value,type
2024-05-01,21,review
2024-05-02,28,review
2024-05-03,12,review
2024-05-04,26,review
2024-05-05,44,review
2024-05-06,38,review
2024-05-07,42,review
2024-05-08,37,review
2024-05-09,35,review
2024-05-10,27,review
2024-05-11,26,review
2024-05-12,56,review
2024-05-13,86,review
2024-05-14,76,review
2024-05-15,111,review
2024-05-16,122,review
2024-05-17,158,review
2024-05-18,206,review
2024-05-19,468,review
2024-05-20,391,review
2024-05-21,194,review
2024-05-22,157,review
2024-05-23,145,review
2024-05-24,74,review
2024-05-25,28,review
2024-05-26,41,review
2024-05-27,34,review
2024-05-28,21,review
2024-05-29,14,review
2024-05-30,4,review
2024-05-30,5,meta
2024-05-31,13,review
2024-05-31,9,meta
2024-06-01,19,meta
2024-06-01,3,review
2024-06-02,3,review
2024-06-02,7,meta
2024-06-03,1,review
2024-06-03,35,meta
2024-06-04,1,review
2024-06-04,46,meta
2024-06-05,1,review
2024-06-05,94,meta
2024-06-06,116,meta
2024-06-07,168,meta
2024-06-08,110,meta
2024-06-08,1,review
2024-06-09,48,meta
2024-06-10,56,meta
2024-06-11,43,meta
2024-06-12,27,meta
2024-06-13,11,meta
2024-06-14,4,meta
2024-06-15,2,meta
2024-06-16,4,meta
2024-06-17,1,review
2024-06-17,1,meta
2024-07-25,1,review
