score,value,type
1.0,5,review
1.0,10,meta
1.5,46,review
2.0,169,review
2.0,241,meta
2.5,240,review
3.0,228,review
3.0,299,meta
3.5,62,review
4.0,13,review
4.0,204,meta
5.0,9,meta
