dtg,value,type
2022-05-28,12,review
2022-05-29,5,review
2022-05-30,4,review
2022-05-31,8,review
2022-06-01,7,review
2022-06-02,9,review
2022-06-03,4,review
2022-06-04,9,review
2022-06-05,5,review
2022-06-06,15,review
2022-06-07,42,review
2022-06-08,44,review
2022-06-09,75,review
2022-06-10,146,review
2022-06-11,47,review
2022-06-12,6,meta
2022-06-12,22,review
2022-06-13,3,meta
2022-06-13,23,review
2022-06-14,3,meta
2022-06-14,15,review
2022-06-15,6,review
2022-06-15,1,meta
2022-06-16,6,review
2022-06-16,4,meta
2022-06-17,13,meta
2022-06-17,8,review
2022-06-18,16,meta
2022-06-18,3,review
2022-06-19,11,meta
2022-06-19,10,review
2022-06-20,11,meta
2022-06-20,13,review
2022-06-21,11,meta
2022-06-21,11,review
2022-06-22,5,meta
2022-06-22,4,review
2022-06-23,6,meta
2022-06-23,5,review
2022-06-24,4,meta
2022-06-24,1,review
2022-06-25,5,meta
2022-06-26,2,meta
2022-06-26,1,review
2022-06-27,3,meta
2022-06-27,1,review
2022-06-28,3,review
2022-06-29,3,meta
2022-06-30,2,meta
2022-06-30,5,review
2022-07-01,4,meta
2022-07-03,2,meta
2022-07-05,3,meta
2022-07-05,1,review
2022-07-06,2,meta
2022-07-07,2,review
2022-07-08,4,meta
2022-07-09,3,meta
2022-07-09,1,review
2022-07-10,1,meta
2022-07-10,1,review
2022-07-11,2,review
2022-07-11,9,meta
2022-07-12,3,review
2022-07-12,4,meta
2022-07-13,1,review
2022-07-13,2,meta
2022-07-14,5,meta
2022-07-14,1,review
2022-07-15,4,meta
2022-07-16,2,meta
2022-07-18,1,review
2022-07-19,1,review
2022-07-19,3,meta
2022-07-20,2,meta
2022-07-20,2,review
2022-07-21,2,meta
2022-07-21,3,review
2022-07-22,2,review
2022-07-22,5,meta
2022-07-23,6,meta
2022-07-24,1,meta
2022-07-30,1,review
