score,value,type
1.0,1,review
1.0,1,meta
1.5,10,review
2.0,39,review
2.0,50,meta
2.5,40,review
3.0,52,review
3.0,66,meta
3.5,27,review
4.0,4,review
4.0,51,meta
5.0,5,meta
