load,value,type
1,389,review
1,59,meta
2,162,review
2,30,meta
3,108,review
3,27,meta
4,63,review
4,15,meta
5,4,review
5,16,meta
6,9,meta
7,2,review
7,1,meta
8,1,review
9,1,review
10,1,meta
