score,value,type
1.0,2,review
1.0,6,meta
1.5,25,review
2.0,108,review
2.0,145,meta
2.5,115,review
2.5,2,meta
3.0,119,review
3.0,139,meta
3.5,36,review
4.0,4,review
4.0,113,meta
5.0,4,meta
