dtg,value,type
2021-12-29,8,review
2021-12-30,2,review
2021-12-31,3,review
2022-01-01,3,review
2022-01-02,3,review
2022-01-03,2,review
2022-01-04,2,review
2022-01-05,5,review
2022-01-06,3,review
2022-01-07,1,review
2022-01-08,6,review
2022-01-09,9,review
2022-01-10,8,review
2022-01-11,8,review
2022-01-12,11,review
2022-01-13,10,review
2022-01-14,14,review
2022-01-15,28,review
2022-01-16,31,review
2022-01-17,101,review
2022-01-18,118,review
2022-01-18,1,meta
2022-01-19,1,meta
2022-01-19,132,review
2022-01-20,3,meta
2022-01-20,42,review
2022-01-21,28,review
2022-01-21,3,meta
2022-01-22,2,meta
2022-01-22,9,review
2022-01-23,3,meta
2022-01-23,5,review
2022-01-24,9,review
2022-01-24,17,meta
2022-01-25,12,meta
2022-01-25,11,review
2022-01-26,3,review
2022-01-26,21,meta
2022-01-27,36,meta
2022-01-27,1,review
2022-01-28,1,review
2022-01-28,39,meta
2022-01-29,9,meta
2022-01-29,2,review
2022-01-30,1,review
2022-01-30,8,meta
2022-01-31,1,review
2022-01-31,6,meta
2022-02-01,6,meta
2022-02-02,1,meta
2022-02-03,1,review
2022-02-03,2,meta
2022-02-04,1,meta
2022-02-07,3,meta
2022-02-08,1,review
2022-02-10,1,meta
2022-02-10,1,review
2022-02-11,1,meta
2022-02-14,1,review
2022-02-18,2,meta
