score,value,type
1.0,1,review
1.0,2,meta
1.5,14,review
2.0,34,review
2.0,54,meta
2.5,52,review
3.0,41,review
3.0,75,meta
3.5,18,review
4.0,1,review
4.0,29,meta
5.0,1,meta
