dtg,value,type
2022-03-02,4,review
2022-03-03,1,review
2022-03-04,1,review
2022-03-05,4,review
2022-03-06,5,review
2022-03-07,5,review
2022-03-08,8,review
2022-03-09,7,review
2022-03-10,5,review
2022-03-11,10,review
2022-03-12,6,review
2022-03-13,13,review
2022-03-14,32,review
2022-03-15,60,review
2022-03-16,92,review
2022-03-17,126,review
2022-03-17,1,meta
2022-03-18,43,review
2022-03-18,1,meta
2022-03-19,6,meta
2022-03-19,26,review
2022-03-20,5,review
2022-03-20,4,meta
2022-03-21,9,meta
2022-03-21,15,review
2022-03-22,11,review
2022-03-22,12,meta
2022-03-23,15,review
2022-03-23,9,meta
2022-03-24,7,meta
2022-03-24,8,review
2022-03-25,4,meta
2022-03-25,7,review
2022-03-26,1,review
2022-03-27,3,meta
2022-03-27,1,review
2022-03-28,7,review
2022-03-28,10,meta
2022-03-29,8,review
2022-03-29,8,meta
2022-03-30,5,review
2022-03-30,4,meta
2022-03-31,13,meta
2022-03-31,5,review
2022-04-01,7,review
2022-04-01,13,meta
2022-04-02,10,meta
2022-04-02,4,review
2022-04-03,5,review
2022-04-03,14,meta
2022-04-04,2,meta
2022-04-05,2,meta
2022-04-06,5,review
2022-04-06,2,meta
2022-04-07,4,meta
2022-04-07,1,review
2022-04-08,3,meta
2022-04-09,4,meta
2022-04-10,5,meta
2022-04-11,3,meta
2022-04-11,2,review
2022-04-14,1,review
2022-04-15,2,meta
2022-04-18,5,meta
2022-04-22,1,meta
