dtg,value,type
2022-06-18,2,review
2022-06-21,1,review
2022-06-22,1,review
2022-06-24,1,review
2022-06-25,1,review
2022-06-26,2,review
2022-06-27,9,review
2022-06-28,4,review
2022-06-29,6,review
2022-06-30,1,review
2022-07-01,7,review
2022-07-05,8,review
2022-07-06,14,review
2022-07-07,9,review
2022-07-08,24,review
2022-07-09,24,review
2022-07-10,37,review
2022-07-11,59,review
2022-07-12,21,review
2022-07-13,11,review
2022-07-13,1,meta
2022-07-14,4,review
2022-07-15,10,review
2022-07-15,6,meta
2022-07-16,8,review
2022-07-17,23,review
2022-07-17,4,meta
2022-07-18,9,review
2022-07-18,5,meta
2022-07-19,11,review
2022-07-19,12,meta
2022-07-20,9,review
2022-07-20,7,meta
2022-07-21,1,meta
2022-07-22,1,review
2022-07-23,3,meta
2022-07-23,4,review
2022-07-24,3,review
2022-07-24,5,meta
2022-07-25,9,meta
2022-07-25,1,review
2022-07-26,1,review
2022-07-27,1,meta
2022-07-27,1,review
2022-07-29,4,meta
2022-07-30,4,meta
2022-07-30,2,review
2022-07-31,3,review
2022-07-31,3,meta
2022-08-01,4,review
2022-08-01,4,meta
2022-08-02,1,review
2022-08-02,1,meta
2022-08-03,1,meta
2022-08-03,2,review
2022-08-04,1,review
2022-08-04,1,meta
2022-08-05,1,review
2022-08-06,1,meta
2022-08-08,2,review
2022-08-09,1,review
2022-08-10,1,meta
2022-08-11,3,meta
2022-08-11,2,review
2022-08-12,1,review
2022-08-13,2,meta
2022-08-14,1,review
2022-08-15,2,review
2022-08-15,2,meta
2022-08-16,4,review
2022-08-16,3,meta
2022-08-17,2,meta
2022-08-18,2,meta
2022-08-18,1,review
2022-08-19,1,meta
2022-08-20,2,meta
2022-08-20,2,review
2022-08-22,1,review
2022-08-23,5,meta
2022-08-23,4,review
2022-08-24,3,meta
2022-08-24,1,review
2022-08-25,2,meta
2022-08-26,2,meta
2022-08-26,2,review
2022-08-27,1,review
2022-08-27,2,meta
2022-08-28,1,meta
2022-08-28,1,review
2022-11-08,1,meta
