score,value,type
1.0,1,review
1.0,2,meta
1.5,6,review
2.0,10,review
2.0,27,meta
2.5,32,review
3.0,32,review
3.0,36,meta
3.5,22,review
4.0,4,review
4.0,38,meta
5.0,4,meta
