dtg,value,type
2022-10-29,11,review
2022-10-30,8,review
2022-10-31,9,review
2022-11-01,12,review
2022-11-02,5,review
2022-11-03,13,review
2022-11-04,8,review
2022-11-05,4,review
2022-11-06,7,review
2022-11-07,28,review
2022-11-08,22,review
2022-11-09,20,review
2022-11-10,21,review
2022-11-11,36,review
2022-11-12,42,review
2022-11-13,43,review
2022-11-14,88,review
2022-11-15,111,review
2022-11-16,260,review
2022-11-17,413,review
2022-11-18,83,review
2022-11-19,55,review
2022-11-20,48,review
2022-11-21,30,review
2022-11-22,10,review
2022-11-23,7,review
2022-11-24,5,review
2022-11-24,3,meta
2022-11-25,5,review
2022-11-25,1,meta
2022-11-26,2,review
2022-11-26,9,meta
2022-11-27,1,review
2022-11-28,1,review
2022-11-28,28,meta
2022-11-29,2,review
2022-11-29,51,meta
2022-11-30,67,meta
2022-12-01,93,meta
2022-12-02,40,meta
2022-12-03,9,meta
2022-12-04,17,meta
2022-12-05,17,meta
2022-12-06,25,meta
2022-12-07,2,meta
