score,value,type
0.0,1,meta
1.0,8,review
1.0,11,meta
1.5,31,review
2.0,89,review
2.0,127,meta
2.5,123,review
3.0,82,review
3.0,138,meta
3.5,40,review
4.0,3,review
4.0,98,meta
5.0,1,meta
