load,value,type
1,67,meta
1,822,review
2,28,meta
2,412,review
3,29,meta
3,692,review
4,58,meta
4,857,review
5,117,meta
5,117,review
6,154,meta
6,56,review
7,23,review
7,31,meta
8,15,review
8,35,meta
9,8,meta
9,4,review
10,8,meta
10,1,review
11,4,meta
11,2,review
12,2,review
12,4,meta
13,1,review
13,1,meta
18,1,review
