score,value,type
1.0,32,meta
1.0,22,review
1.5,229,meta
1.5,266,review
2.0,1927,meta
2.0,1659,review
2.5,2040,meta
2.5,3357,review
3.0,2776,meta
3.0,2881,review
3.5,1433,meta
3.5,922,review
4.0,69,review
4.0,716,meta
4.5,21,meta
4.5,1,review
5.0,3,meta
