load,value,type
1,952,review
1,63,meta
2,738,review
2,44,meta
3,2186,review
3,41,meta
4,4334,review
4,58,meta
5,303,review
5,109,meta
6,75,review
6,230,meta
7,338,meta
7,17,review
8,406,meta
8,17,review
9,49,meta
9,3,review
10,29,meta
10,3,review
11,1,review
11,25,meta
12,16,meta
12,2,review
13,3,meta
14,2,meta
15,1,meta
16,1,review
17,1,meta
21,1,review
