dtg,value,type
2023-10-30,14,review
2023-10-31,29,review
2023-11-01,31,review
2023-11-02,29,review
2023-11-03,19,review
2023-11-04,16,review
2023-11-05,13,review
2023-11-06,21,review
2023-11-07,50,review
2023-11-08,49,review
2023-11-09,41,review
2023-11-10,38,review
2023-11-11,34,review
2023-11-12,50,review
2023-11-13,64,review
2023-11-14,72,review
2023-11-15,71,review
2023-11-16,102,review
2023-11-17,166,review
2023-11-18,165,review
2023-11-19,205,review
2023-11-20,445,review
2023-11-21,953,review
2023-11-22,273,review
2023-11-23,216,review
2023-11-24,125,review
2023-11-25,85,review
2023-11-26,30,review
2023-11-27,22,review
2023-11-28,26,review
2023-11-29,21,review
2023-11-29,6,meta
2023-11-30,11,review
2023-11-30,13,meta
2023-12-01,24,meta
2023-12-01,9,review
2023-12-02,15,meta
2023-12-02,4,review
2023-12-03,22,meta
2023-12-04,3,review
2023-12-04,41,meta
2023-12-05,157,meta
2023-12-05,4,review
2023-12-06,206,meta
2023-12-06,4,review
2023-12-07,2,review
2023-12-07,305,meta
2023-12-08,134,meta
2023-12-08,2,review
2023-12-09,49,meta
2023-12-10,1,review
2023-12-10,12,meta
2023-12-11,2,review
2023-12-11,33,meta
2023-12-12,1,review
2023-12-12,38,meta
2023-12-13,25,meta
2023-12-14,16,meta
2023-12-15,9,meta
2023-12-16,2,meta
