load,value,type
1,650,review
1,55,meta
2,482,review
2,54,meta
3,258,review
3,49,meta
4,146,review
4,25,meta
5,107,review
5,26,meta
6,17,review
6,24,meta
7,24,meta
7,3,review
8,17,meta
9,9,meta
10,3,meta
12,1,review
12,1,meta
14,1,meta
