score,value,type
0.0,156,review
0.0,156,meta
1.0,22,review
1.0,21,meta
1.5,66,review
2.0,247,review
2.0,333,meta
2.5,347,review
3.0,291,review
3.0,418,meta
3.5,119,review
4.0,15,review
4.0,309,meta
5.0,26,meta
