score,value,type
0.0,23,meta
0.5,1,review
1.0,32,review
1.0,34,meta
1.5,133,review
2.0,368,review
2.0,589,meta
2.5,520,review
3.0,449,review
3.0,679,meta
3.5,234,review
4.0,37,review
4.0,414,meta
4.5,3,review
5.0,38,meta
