load,value,type
1,20,meta
1,272,review
2,26,meta
2,210,review
3,292,review
3,21,meta
4,12,meta
4,655,review
5,18,meta
5,1018,review
6,46,review
6,17,meta
7,4,review
7,19,meta
8,2,review
8,52,meta
9,1,review
9,90,meta
10,74,meta
11,4,meta
12,4,meta
19,1,meta
