load,value,type
1,576,review
1,97,meta
2,322,review
2,100,meta
3,309,review
3,73,meta
4,419,review
4,52,meta
5,52,meta
5,26,review
6,37,meta
6,9,review
7,8,review
7,3,meta
8,4,meta
8,4,review
9,1,meta
10,1,review
10,2,meta
