score,value,type
0.0,153,meta
0.0,99,review
1.0,9,meta
1.0,8,review
1.5,79,meta
1.5,103,review
2.0,378,review
2.0,394,meta
2.5,291,meta
2.5,481,review
3.0,274,review
3.0,305,meta
3.5,127,meta
3.5,86,review
4.0,10,review
4.0,78,meta
4.5,3,meta
