dtg,value,type
2025-06-06,103,review
2025-06-07,101,review
2025-06-08,98,review
2025-06-09,198,review
2025-06-10,223,review
2025-06-11,300,review
2025-06-12,342,review
2025-06-13,337,review
2025-06-14,350,review
2025-06-15,496,review
2025-06-16,969,review
2025-06-17,1781,review
2025-06-18,3075,review
2025-06-19,5117,review
2025-06-20,1438,review
2025-06-21,882,review
2025-06-22,695,review
2025-06-23,807,review
2025-06-24,787,review
2025-06-25,885,review
2025-06-26,613,review
2025-06-27,291,review
2025-06-28,97,review
2025-06-29,47,review
2025-06-30,94,review
2025-07-01,51,review
2025-07-02,57,review
2025-07-03,57,review
2025-07-04,53,review
2025-07-05,29,review
2025-07-06,11,review
2025-07-07,6,review
2025-07-08,23,review
2025-07-08,174,meta
2025-07-09,6,review
2025-07-09,270,meta
2025-07-10,3,review
2025-07-10,263,meta
2025-07-11,6,review
2025-07-11,314,meta
2025-07-12,288,meta
2025-07-13,397,meta
2025-07-14,795,meta
2025-07-15,1285,meta
2025-07-16,1553,meta
2025-07-17,1,review
2025-07-17,492,meta
2025-07-18,243,meta
2025-07-19,152,meta
2025-07-20,80,meta
2025-07-21,70,meta
2025-07-22,53,meta
2025-07-23,33,meta
2025-07-24,30,meta
