load,value,type
1,1078,review
1,70,meta
2,57,meta
2,788,review
3,66,meta
3,1645,review
4,157,meta
4,2197,review
5,317,review
5,289,meta
6,156,review
6,333,meta
7,65,meta
7,79,review
8,51,review
8,46,meta
9,23,review
9,34,meta
10,14,review
10,28,meta
11,1,review
11,12,meta
12,2,review
12,11,meta
13,5,review
13,7,meta
14,8,meta
15,1,review
15,7,meta
17,1,meta
19,1,meta
19,1,review
22,1,review
22,1,meta
30,1,review
37,1,review
