score,value,type
1.0,11,review
1.0,19,meta
1.5,241,review
1.5,241,meta
2.0,1172,review
2.0,1329,meta
2.5,2143,review
2.5,1303,meta
3.0,2075,review
3.0,1877,meta
3.5,759,review
3.5,1052,meta
4.0,71,review
4.0,630,meta
4.5,19,meta
5.0,2,meta
