dtg,value,type
2023-08-30,4,review
2023-08-31,3,review
2023-09-01,1,review
2023-09-02,2,review
2023-09-03,4,review
2023-09-04,2,review
2023-09-05,4,review
2023-09-06,1,review
2023-09-07,1,review
2023-09-08,1,review
2023-09-09,4,review
2023-09-10,7,review
2023-09-11,5,review
2023-09-12,4,review
2023-09-13,5,review
2023-09-14,2,review
2023-09-15,4,review
2023-09-16,3,review
2023-09-17,4,review
2023-09-18,15,review
2023-09-19,39,review
2023-09-20,111,review
2023-09-21,31,review
2023-09-22,7,review
2023-09-23,4,review
2023-09-24,12,review
2023-09-25,5,review
2023-09-26,11,review
2023-09-27,26,review
2023-09-28,2,review
2023-09-29,1,review
2023-09-30,2,review
2023-10-02,4,review
2023-10-02,2,meta
2023-10-03,1,meta
2023-10-04,3,meta
2023-10-05,4,meta
2023-10-06,4,meta
2023-10-07,14,meta
2023-10-08,24,meta
2023-10-09,29,meta
2023-10-10,20,meta
2023-10-11,4,meta
