score,value,type
1.0,1,review
1.0,1,meta
1.5,11,review
2.0,29,review
2.0,37,meta
2.5,32,review
3.0,19,review
3.0,45,meta
3.5,9,review
4.0,4,review
4.0,20,meta
5.0,2,meta
