score,value,type
0.0,8,meta
1.0,4,meta
1.5,7,review
2.0,28,review
2.0,56,meta
2.5,43,review
3.0,65,review
3.0,68,meta
3.5,28,review
4.0,7,review
4.0,43,meta
4.5,1,review
