load,value,type
1,61,meta
1,852,review
2,37,meta
2,952,review
3,658,review
3,60,meta
4,307,review
4,47,meta
5,61,meta
5,194,review
6,55,meta
6,87,review
7,29,meta
7,11,review
8,35,meta
8,4,review
9,45,meta
9,3,review
10,2,review
10,26,meta
11,1,review
12,1,review
13,1,review
