dtg,value,type
2023-12-28,7,review
2023-12-29,40,review
2023-12-30,31,review
2023-12-31,39,review
2024-01-01,31,review
2024-01-02,53,review
2024-01-03,96,review
2024-01-04,68,review
2024-01-05,88,review
2024-01-06,60,review
2024-01-07,57,review
2024-01-08,101,review
2024-01-09,129,review
2024-01-10,117,review
2024-01-11,145,review
2024-01-12,160,review
2024-01-13,227,review
2024-01-14,305,review
2024-01-15,584,review
2024-01-16,979,review
2024-01-17,1787,review
2024-01-18,664,review
2024-01-19,280,review
2024-01-20,270,review
2024-01-21,254,review
2024-01-22,397,review
2024-01-23,102,review
2024-01-24,47,review
2024-01-25,21,review
2024-01-26,24,review
2024-01-27,7,review
2024-01-27,3,meta
2024-01-28,6,review
2024-01-28,5,meta
2024-01-29,18,meta
2024-01-29,8,review
2024-01-30,6,review
2024-01-30,68,meta
2024-01-31,1,review
2024-01-31,98,meta
2024-02-01,205,meta
2024-02-02,346,meta
2024-02-03,879,meta
2024-02-04,282,meta
2024-02-05,124,meta
2024-02-06,1,review
2024-02-06,117,meta
2024-02-07,48,meta
2024-02-08,1,review
2024-02-08,11,meta
2024-02-09,16,meta
2024-02-10,3,meta
2024-02-13,2,review
2024-02-13,1,meta
2024-02-14,2,review
