load,value,type
1,36,meta
1,1280,review
2,40,meta
2,1127,review
3,2416,review
3,43,meta
4,3296,review
4,58,meta
5,62,meta
5,1786,review
6,1370,review
6,114,meta
7,115,meta
7,94,review
8,95,meta
8,21,review
9,12,review
9,55,meta
10,4,review
10,81,meta
11,6,review
11,148,meta
12,191,meta
13,2,review
13,218,meta
14,1,review
14,133,meta
15,1,review
15,52,meta
16,2,meta
17,2,meta
18,1,review
21,1,review
