score,value,type
1.0,28,review
1.0,51,meta
1.5,430,review
1.5,414,meta
2.0,2415,review
2.0,2763,meta
2.5,5224,review
2.5,3266,meta
3.0,4358,review
3.0,4391,meta
3.5,1151,review
3.5,1995,meta
4.0,62,review
4.0,767,meta
4.5,20,meta
5.0,1,meta
