score,value,type
0.0,151,meta
0.5,1,review
1.0,21,review
1.0,33,meta
1.5,67,review
2.0,322,review
2.0,547,meta
2.5,409,review
3.0,576,review
3.0,630,meta
3.5,280,review
4.0,95,review
4.0,378,meta
4.5,6,review
5.0,38,meta
