load,value,type
1,39,meta
1,813,review
2,20,meta
2,228,review
3,10,meta
3,305,review
4,12,meta
4,1855,review
5,693,review
5,56,meta
6,237,meta
6,217,review
7,64,review
7,77,meta
8,62,review
8,125,meta
9,60,meta
9,15,review
10,6,review
10,62,meta
11,11,meta
11,6,review
12,1,meta
12,3,review
13,1,review
14,1,review
