score,value,type
1.0,0,meta
1.0,0,review
1.5,0,review
2.0,0,meta
2.0,0,review
2.5,0,review
3.0,0,meta
3.0,0,review
3.5,0,review
4.0,0,meta
4.0,0,review
4.5,0,review
5.0,0,meta
